variant,instance_id,repetition,size,power_pressure_class,ga_rpd,variant_rpd,rpd_improvement_over_ga,outcome,ga_reached_0_1pct,variant_reached_0_1pct,ga_time_to_0_1pct_s,variant_time_to_0_1pct_s,ga_evaluations_to_0_1pct,variant_evaluations_to_0_1pct,ga_reached_1pct,variant_reached_1pct,ga_time_to_1pct_s,variant_time_to_1pct_s,ga_evaluations_to_1pct,variant_evaluations_to_1pct
2PGA,n0020_i01,1,20,medium,0.7450974196442167,0.5734967122747692,0.17160070736944755,variant_win,False,False,,,,,True,True,0.10609809996094555,0.954891499990481,2808.0,30632.0
2PGA,n0020_i01,2,20,medium,1.2571536909664822,0.8492520087783004,0.4079016821881818,variant_win,False,False,,,,,False,True,,0.536018899991177,,9376.0
2PGA,n0020_i01,3,20,medium,1.218770346338317,0.857804103562431,0.36096624277588607,variant_win,False,False,,,,,False,True,,0.37460290000308305,,7086.0
2PGA,n0020_i01,4,20,medium,0.260893741836982,0.6839183466805232,-0.4230246048435412,ga_win,False,False,,,,,True,True,0.04899849998764694,0.39360880000458565,917.0,7508.0
2PGA,n0020_i01,5,20,medium,1.2513868554735708,0.7679635142323924,0.48342334124117836,variant_win,False,False,,,,,False,True,,6.572330700000748,,205568.0
2PGA,n0020_i02,1,20,low,0.0,0.0,0.0,tie,True,True,0.0003955999854952097,0.0002558999985922128,1.0,1.0,True,True,0.0003955999854952097,0.0002558999985922128,1.0,1.0
2PGA,n0020_i02,2,20,low,0.0,0.0,0.0,tie,True,True,0.0004059000057168305,0.00024649999977555126,1.0,1.0,True,True,0.0004059000057168305,0.00024649999977555126,1.0,1.0
2PGA,n0020_i02,3,20,low,0.0,0.0,0.0,tie,True,True,0.00040989997796714306,0.00024480000138282776,1.0,1.0,True,True,0.00040989997796714306,0.00024480000138282776,1.0,1.0
2PGA,n0020_i02,4,20,low,0.0,0.0,0.0,tie,True,True,0.00040259998058900237,0.00032210000790655613,1.0,1.0,True,True,0.00040259998058900237,0.00032210000790655613,1.0,1.0
2PGA,n0020_i02,5,20,low,0.0,0.0,0.0,tie,True,True,0.00040259992238134146,0.0002523000002838671,1.0,1.0,True,True,0.00040259992238134146,0.0002523000002838671,1.0,1.0
2PGA,n0020_i03,1,20,high,0.4040594951425392,0.5183384431995703,-0.11427894805703115,ga_win,False,False,,,,,True,True,0.10911130008753389,1.2186399000056554,2231.0,39760.0
2PGA,n0020_i03,2,20,high,2.494897733511993,0.9010532240495246,1.5938445094624683,variant_win,False,False,,,,,False,True,,12.989127900000312,,427157.0
2PGA,n0020_i03,3,20,high,0.390029173488333,0.15427800545887335,0.23575116802945964,variant_win,False,False,,,,,True,True,4.486870200023986,13.70024549998925,91796.0,430334.0
2PGA,n0020_i03,4,20,high,0.47028806255568184,0.5188548067235155,-0.04856674416783363,ga_win,False,False,,,,,True,True,0.19088420004118234,2.2772426000010455,3719.0,76350.0
2PGA,n0020_i03,5,20,high,0.30575500634910335,0.1066251293805657,0.19912987696853765,variant_win,False,False,,,,,True,True,0.11915250006131828,5.309439599994221,2310.0,172591.0
2PGA,n0020_i04,1,20,high,0.19838416885325133,0.1303760932817567,0.06800807557149463,variant_win,False,False,,,,,True,True,0.026471500052139163,0.18153370000072755,567.0,6471.0
2PGA,n0020_i04,2,20,high,0.24667685230218017,0.08965592337857027,0.15702092892360991,variant_win,False,True,,35.36503329999687,,1207594.0,True,True,0.060288900043815374,0.18986719999520574,1322.0,6621.0
2PGA,n0020_i04,3,20,high,0.36612349415261763,0.10842666784926995,0.25769682630334767,variant_win,False,False,,,,,True,True,0.06749209994450212,0.19366119999904186,1408.0,7015.0
2PGA,n0020_i04,4,20,high,0.3931347914404509,0.10466180513829516,0.28847298630215573,variant_win,False,False,,,,,True,True,0.04920130001846701,0.1312113999883877,1089.0,4452.0
2PGA,n0020_i04,5,20,high,0.4212719973065645,0.08965592337857027,0.33161607392799425,variant_win,False,True,,22.107319099988672,,768354.0,True,True,0.04354879993479699,0.9643379999906756,911.0,34332.0
2PGA,n0020_i05,1,20,medium,0.32421284496772396,0.13811318098776168,0.18609966397996228,variant_win,False,False,,,,,True,True,0.14170589996501803,2.9116686999914236,2726.0,93728.0
2PGA,n0020_i05,2,20,medium,0.6937645976531449,0.0,0.6937645976531449,variant_win,False,True,,7.442760799996904,,232176.0,True,True,0.07341810001526028,0.13283380000211764,1414.0,4384.0
2PGA,n0020_i05,3,20,medium,0.22925415913472427,0.5339763939642378,-0.30472223482951355,ga_win,False,False,,,,,True,True,0.328131299931556,0.6008355999947526,6184.0,18828.0
2PGA,n0020_i05,4,20,medium,0.5749229593489509,0.5033943738496448,0.07152858549930607,variant_win,False,False,,,,,True,True,0.47782050003297627,0.4768788999936078,8713.0,15191.0
2PGA,n0020_i05,5,20,medium,0.5749229593489509,0.14258905687150422,0.43233390247744663,variant_win,False,False,,,,,True,True,0.32186220004223287,4.891820000004373,6168.0,157416.0
2PGA,n0020_i06,1,20,low,0.28235165841074333,0.33489894532682807,-0.052547286916084734,ga_win,False,False,,,,,True,True,0.0620718999998644,0.7110561000008602,1180.0,21991.0
2PGA,n0020_i06,2,20,low,0.28879805388257646,0.2775931133649178,0.011204940517658635,variant_win,False,False,,,,,True,True,0.10104989993851632,0.5079992999962997,1896.0,15786.0
2PGA,n0020_i06,3,20,low,0.192028355977948,0.16752674697847605,0.024501608999471958,variant_win,False,False,,,,,True,True,0.12582949991337955,1.9813851999933831,2139.0,61109.0
2PGA,n0020_i06,4,20,low,0.4720183375966871,0.9052009840562624,-0.43318264645957527,ga_win,False,False,,,,,True,True,0.14296279998961836,3.8865060999960406,2683.0,117305.0
2PGA,n0020_i06,5,20,low,0.3162671024769797,0.41289314380968095,-0.09662604133270125,ga_win,False,False,,,,,True,True,0.1954808000009507,2.2415085999964504,3637.0,72565.0
2PGA,n0050_i01,1,50,medium,0.20260875893446456,0.4067808301608244,-0.20417207122635983,ga_win,False,False,,,,,True,True,0.1263598999939859,0.5300208000116982,1016.0,6796.0
2PGA,n0050_i01,2,50,medium,0.20620340566041143,0.37145146106549776,-0.16524805540508633,ga_win,False,False,,,,,True,True,0.11522420006804168,0.5567454000120051,919.0,7205.0
2PGA,n0050_i01,3,50,medium,0.23345362644596457,0.1586337856502173,0.07481984079574727,variant_win,False,False,,,,,True,True,0.21797849994618446,0.1152074999990873,1742.0,1489.0
2PGA,n0050_i01,4,50,medium,0.28304462821622195,0.13033313898003915,0.1527114892361828,variant_win,False,False,,,,,True,True,0.12965309992432594,0.3180528999946546,1045.0,4207.0
2PGA,n0050_i01,5,50,medium,0.16843668363224304,0.2228986686395125,-0.05446198500726945,ga_win,False,False,,,,,True,True,0.1483655000338331,0.5000621000071988,1188.0,6502.0
2PGA,n0050_i02,1,50,high,0.2961456892745159,0.3130563244199396,-0.01691063514542368,ga_win,False,False,,,,,True,True,0.18133539997506887,0.8251889999955893,1641.0,12145.0
2PGA,n0050_i02,2,50,high,0.633361853644888,0.25336107618979953,0.3800007774550884,variant_win,False,False,,,,,True,True,0.3471828999463469,0.44555730000138283,3167.0,6545.0
2PGA,n0050_i02,3,50,high,0.7147765459633807,0.18234367328678996,0.5324328726765908,variant_win,False,False,,,,,True,True,0.13519109995104373,0.8549438000045484,1229.0,7419.0
2PGA,n0050_i02,4,50,high,0.2896019412264886,0.24775210702849632,0.041849834197992264,variant_win,False,False,,,,,True,True,0.41379549994599074,0.6669109999929788,3773.0,9674.0
2PGA,n0050_i02,5,50,high,0.35150579323354947,0.12196419352598438,0.2295415997075651,variant_win,False,False,,,,,True,True,0.39317739999387413,0.7166806000022916,3582.0,10685.0
2PGA,n0050_i03,1,50,medium,0.31743065201748794,0.34930488033633994,-0.031874228318852005,ga_win,False,False,,,,,True,True,0.12766009999904782,0.11384809999435674,1014.0,1450.0
2PGA,n0050_i03,2,50,medium,0.2792181567873436,0.36811771500312496,-0.08889955821578138,ga_win,False,False,,,,,True,True,0.18630159995518625,0.5097699999896577,1454.0,6465.0
2PGA,n0050_i03,3,50,medium,0.2808926049068686,0.27008674396790633,0.010805860938962297,variant_win,False,False,,,,,True,True,0.10415129992179573,0.5728914000064833,814.0,7121.0
2PGA,n0050_i03,4,50,medium,0.29393820491288586,0.28195988556582474,0.011978319347061117,variant_win,False,False,,,,,True,True,0.1345051999669522,0.5196834999951534,1046.0,6734.0
2PGA,n0050_i03,5,50,medium,0.3713420594141053,0.3679503480387152,0.0033917113753901273,variant_win,False,False,,,,,True,True,0.3651895000366494,0.7278848999994807,2853.0,9389.0
2PGA,n0050_i04,1,50,low,0.12494354575645887,0.2551657433739881,-0.13022219761752923,ga_win,False,False,,,,,True,True,0.42619819997344166,2.08475080000062,2850.0,22595.0
2PGA,n0050_i04,2,50,low,0.0780970821518096,0.13787016651073677,-0.05977308435892717,ga_win,True,False,4.01213450008072,,25381.0,,True,True,0.22071900009177625,0.7366837000008672,1452.0,7898.0
