algorithm,power_pressure_class,runs,instances,arpd,median_rpd,q1_rpd,q3_rpd,iqr_rpd,std_rpd,bks_hits,bks_hit_rate_pct,within_0_1pct_runs,within_0_1pct_rate_pct,median_time_to_0_1pct_s_among_successes,not_reached_0_1pct_runs,median_evaluations_to_0_1pct_among_successes,within_1pct_runs,within_1pct_rate_pct,median_time_to_1pct_s_among_successes,not_reached_1pct_runs,median_evaluations_to_1pct_among_successes,median_solution_count,median_solutions_per_second,median_auc_rpd_time
2PGA,high,50,10,0.36118018886593406,0.3137213919739341,0.2184799830784005,0.43789831423732894,0.21941833115892845,0.22582404338332837,0,0.0,3,6.0,35.36503329999687,47,1140774.0,50,100.0,2.410503150000295,0,13044.0,1113989.0,7426.547029742278,0.4390898546462568
2PGA,low,50,10,0.21703566707767333,0.20267245783208088,0.1377674500565789,0.26766125059604995,0.12989380053947105,0.14636947139636952,5,10.0,5,10.0,0.0002523000002838671,45,1.0,50,100.0,0.007952650004881434,0,1.0,793318.0,5288.773074509101,0.2758605257946576
2PGA,medium,50,10,0.3142735156931799,0.2686986823411429,0.19701106288789097,0.37061802454990456,0.1736069616620136,0.18311527307059286,1,2.0,2,4.0,69.91399375000037,48,545425.5,50,100.0,0.5147267499924055,0,4534.0,979086.5,6527.2254967562,0.3538771573312919
ACO,high,50,10,1.1490068516709053,1.12533147384097,0.9415474299728487,1.232105340489422,0.2905579105165733,0.3452760592549178,0,0.0,0,0.0,,50,,17,34.0,16.900222800002666,33,25878.0,88262.5,588.4144808392604,1.216061069681418
ACO,low,50,10,0.6345000525342402,0.6707522839070059,0.6056555180416471,0.8227587041061152,0.2171031860644681,0.262536515411966,5,10.0,5,10.0,0.00020369999947433826,45,1.0,48,96.0,0.018918149999080924,2,4.0,85275.0,568.498436740003,0.697201955024511
ACO,medium,50,10,0.8006262791604699,0.7896469114136873,0.6930530835888005,0.9090316478005744,0.21597856421177397,0.16403132632836506,0,0.0,0,0.0,,50,,45,90.0,3.173817999999301,5,3511.0,88552.5,590.3471193629682,0.844656491143593
BRKGA-R-LS,high,50,10,0.506020373207192,0.40857053339824884,0.25664867318542595,0.5082004748611841,0.2515518016757582,0.41852759071624884,0,0.0,3,6.0,23.471713999984786,47,402297.0,45,90.0,4.977088400046341,5,16326.0,650316.5,4335.421435923513,0.5998049168138999
BRKGA-R-LS,low,50,10,0.29617144628918696,0.2819172196166362,0.17161115571919436,0.48680565316293417,0.31519449744373984,0.1772479274939867,5,10.0,7,14.000000000000002,0.00019219995010644197,43,1.0,50,100.0,0.0021165500511415303,0,1.0,462677.5,3084.504112915549,0.391515452591215
BRKGA-R-LS,medium,50,10,0.3744436101402138,0.3563859587560676,0.2512682535719114,0.4960649442628409,0.24479669069092952,0.19921875770004333,2,4.0,7,14.000000000000002,46.12013960001059,43,1345583.0,50,100.0,0.8125768999452703,0,7010.0,566312.0,3775.395361225407,0.46167754164268543
GA,high,50,10,0.3517281582285164,0.3104672209547483,0.19588631230671172,0.3993825662990621,0.20349625399235038,0.34146701339553676,1,2.0,2,4.0,87.30608470004518,48,236472.0,49,98.0,0.8771649999544024,1,3719.0,672694.0,4484.599269274764,0.365161742746655
GA,low,50,10,0.1597402873858231,0.14838547355990783,0.08317146227595217,0.20157541026257395,0.11840394798662178,0.11098608481425742,5,10.0,14,28.000000000000004,5.7235437000053935,36,32943.5,50,100.0,0.005761100037489086,0,1.0,466873.5,3112.479507170575,0.21138301852324948
GA,medium,50,10,0.3028650662563017,0.20657340126406332,0.15567956537367253,0.2982527548508934,0.1425731894772209,0.28050560858758017,0,0.0,4,8.0,78.00799054995878,46,197830.0,47,94.0,0.1345051999669522,3,1283.0,581359.0,3875.7102332778422,0.28590553286334675
HPSO,high,50,10,0.23846192831436336,0.14237541222118094,0.07833949426426913,0.3266790202457869,0.24833952598151776,0.30155932819192477,5,10.0,16,32.0,76.5997669500066,34,136948.0,49,98.0,0.34520880004856735,1,1006.0,501172.5,3341.1271089397287,0.22728979550328238
HPSO,low,50,10,0.16427407781229814,0.13125743585510272,0.03716083998308259,0.22760250453544312,0.19044166455236053,0.18240380905131484,9,18.0,21,42.0,39.367938600014895,29,46457.0,50,100.0,0.0068445499637164176,0,1.0,380461.0,2536.3959111020313,0.17815707719596907
HPSO,medium,50,10,0.2055412830695661,0.1707773349873646,0.05438533521565295,0.27808841198625234,0.2237030767705994,0.19821010541581524,4,8.0,20,40.0,51.78438024997013,30,69962.0,50,100.0,0.07030635001137853,0,320.5,446364.0,2975.742932978174,0.18686152691757996
TS,high,50,10,0.09775568829230531,0.08029310058144186,0.0007285455800388578,0.16881060089215902,0.16808205531212017,0.09693020588976611,13,26.0,29,57.99999999999999,24.782411299995147,21,152432.0,50,100.0,0.4883927499759011,0,2126.0,694851.5,4632.32660592362,0.13933364314569316
TS,low,50,10,0.04413998597245877,0.03141832776069585,0.000301895448219263,0.06262729805573587,0.06232540260751661,0.04235239627805365,13,26.0,43,86.0,32.29071099997964,7,72502.0,50,100.0,0.0008919999818317592,0,1.0,478118.5,3187.4459104037965,0.09475037793121038
TS,medium,50,10,0.0474737971022385,0.04450757561409117,0.0,0.06861875893136216,0.06861875893136216,0.04436454683817112,14,28.000000000000004,44,88.0,33.538613550015725,6,99559.0,50,100.0,0.05777394998585805,0,478.5,596139.0,3974.248438443243,0.09536789565790228
