algorithm,instance_id,size,power_pressure_class,repetition,checkpoint_s,best_result_time_s,solution_count,makespan,rpd,has_solution,hit_bks,within_0_1pct,within_1pct,beats_or_ties_naive,strictly_beats_naive
2PGA,n0020_i01,20,medium,1,1.0,0.954891499990481,30632,75.64240863037487,0.9350590179691012,True,False,False,True,True,True
2PGA,n0020_i01,20,medium,1,5.0,2.189855799995712,69447,75.37144783698194,0.5734967122747692,True,False,False,True,True,True
2PGA,n0020_i01,20,medium,1,15.0,2.189855799995712,69447,75.37144783698194,0.5734967122747692,True,False,False,True,True,True
2PGA,n0020_i01,20,medium,1,30.0,2.189855799995712,69447,75.37144783698194,0.5734967122747692,True,False,False,True,True,True
2PGA,n0020_i01,20,medium,1,60.0,2.189855799995712,69447,75.37144783698194,0.5734967122747692,True,False,False,True,True,True
2PGA,n0020_i01,20,medium,1,120.0,2.189855799995712,69447,75.37144783698194,0.5734967122747692,True,False,False,True,True,True
2PGA,n0020_i01,20,medium,1,150.0,2.189855799995712,69447,75.37144783698194,0.5734967122747692,True,False,False,True,True,True
2PGA,n0020_i01,20,medium,2,1.0,0.8564120999944862,15218,75.61719318090105,0.901412245915064,True,False,False,True,True,True
2PGA,n0020_i01,20,medium,2,5.0,3.614807199992356,66245,75.60251896276243,0.8818313904044728,True,False,False,True,True,True
2PGA,n0020_i01,20,medium,2,15.0,3.614807199992356,66245,75.60251896276243,0.8818313904044728,True,False,False,True,True,True
2PGA,n0020_i01,20,medium,2,30.0,18.19991339999251,495575,75.59079614556013,0.8661887995933754,True,False,False,True,True,True
2PGA,n0020_i01,20,medium,2,60.0,33.64503539999714,781076,75.57810343339267,0.8492520087783004,True,False,False,True,True,True
2PGA,n0020_i01,20,medium,2,120.0,33.64503539999714,781076,75.57810343339267,0.8492520087783004,True,False,False,True,True,True
2PGA,n0020_i01,20,medium,2,150.0,33.64503539999714,781076,75.57810343339267,0.8492520087783004,True,False,False,True,True,True
2PGA,n0020_i01,20,medium,3,1.0,0.850226599999587,15108,75.58451251517853,0.857804103562431,True,False,False,True,True,True
2PGA,n0020_i01,20,medium,3,5.0,0.850226599999587,15108,75.58451251517853,0.857804103562431,True,False,False,True,True,True
2PGA,n0020_i01,20,medium,3,15.0,0.850226599999587,15108,75.58451251517853,0.857804103562431,True,False,False,True,True,True
2PGA,n0020_i01,20,medium,3,30.0,0.850226599999587,15108,75.58451251517853,0.857804103562431,True,False,False,True,True,True
2PGA,n0020_i01,20,medium,3,60.0,0.850226599999587,15108,75.58451251517853,0.857804103562431,True,False,False,True,True,True
2PGA,n0020_i01,20,medium,3,120.0,0.850226599999587,15108,75.58451251517853,0.857804103562431,True,False,False,True,True,True
2PGA,n0020_i01,20,medium,3,150.0,0.850226599999587,15108,75.58451251517853,0.857804103562431,True,False,False,True,True,True
2PGA,n0020_i01,20,medium,4,1.0,0.8375981999997748,16065,75.48908479252,0.7304680893755288,True,False,False,True,True,True
2PGA,n0020_i01,20,medium,4,5.0,2.8871145000011893,55504,75.48005054568858,0.7184130497010516,True,False,False,True,True,True
2PGA,n0020_i01,20,medium,4,15.0,2.8871145000011893,55504,75.48005054568858,0.7184130497010516,True,False,False,True,True,True
